400	7.98E-03	2.77E-04	9.69E-04	2.50E-03	2.54E-03	
401	8.00E-03	4.28E-04	1.49E-03	2.58E-03	2.61E-03	
402	7.99E-03	4.85E-04	1.70E-03	2.64E-03	2.68E-03	
403	7.96E-03	4.17E-04	1.35E-03	2.71E-03	2.52E-03	
404	7.91E-03	3.50E-04	1.05E-03	2.77E-03	2.34E-03	
405	8.09E-03	3.95E-04	1.18E-03	2.83E-03	2.39E-03	
406	8.25E-03	5.00E-04	1.50E-03	2.89E-03	2.44E-03	
407	8.16E-03	5.08E-04	1.52E-03	2.70E-03	2.49E-03	
408	8.06E-03	3.69E-04	1.11E-03	2.50E-03	2.54E-03	
409	8.20E-03	2.51E-04	6.01E-04	2.54E-03	2.32E-03	
410	8.34E-03	1.55E-04	3.10E-04	2.59E-03	2.10E-03	
411	8.22E-03	1.01E-04	2.02E-04	2.63E-03	2.13E-03	
412	8.08E-03	8.42E-05	1.68E-04	2.67E-03	2.17E-03	
413	8.22E-03	8.38E-05	1.67E-04	2.72E-03	2.21E-03	
414	8.36E-03	9.60E-05	1.92E-04	2.76E-03	2.24E-03	
415	8.50E-03	1.23E-04	2.25E-04	2.53E-03	2.28E-03	
416	8.65E-03	1.73E-04	2.87E-04	2.29E-03	2.32E-03	
417	8.51E-03	2.55E-04	4.24E-04	2.33E-03	2.36E-03	
418	8.36E-03	3.83E-04	6.37E-04	2.37E-03	2.41E-03	
419	8.52E-03	5.65E-04	9.40E-04	2.42E-03	2.45E-03	
420	8.68E-03	7.97E-04	1.33E-03	2.46E-03	2.50E-03	
421	8.84E-03	1.06E-03	1.77E-03	2.51E-03	2.54E-03	
422	9.01E-03	1.33E-03	2.21E-03	2.55E-03	2.59E-03	
423	8.85E-03	1.56E-03	2.60E-03	2.60E-03	2.64E-03	
424	8.68E-03	1.74E-03	2.89E-03	2.65E-03	2.69E-03	
425	8.84E-03	1.86E-03	3.09E-03	2.36E-03	2.74E-03	
426	9.01E-03	1.92E-03	3.20E-03	2.06E-03	2.79E-03	
427	8.82E-03	1.98E-03	2.96E-03	2.10E-03	2.84E-03	
428	8.62E-03	2.03E-03	2.70E-03	2.14E-03	2.89E-03	
429	8.76E-03	2.09E-03	2.77E-03	2.17E-03	2.94E-03	
430	8.91E-03	2.14E-03	2.85E-03	2.21E-03	2.99E-03	
431	9.05E-03	2.20E-03	2.92E-03	2.25E-03	3.04E-03	
432	9.19E-03	2.24E-03	2.98E-03	2.28E-03	3.08E-03	
433	9.32E-03	2.27E-03	2.65E-03	2.31E-03	2.74E-03	
434	9.45E-03	2.30E-03	2.30E-03	2.34E-03	2.38E-03	
435	9.57E-03	2.34E-03	2.33E-03	2.38E-03	2.41E-03	
436	9.69E-03	2.37E-03	2.36E-03	2.40E-03	2.44E-03	
437	9.80E-03	2.79E-03	2.39E-03	2.03E-03	2.47E-03	
438	9.91E-03	3.22E-03	2.41E-03	1.64E-03	2.49E-03	
439	1.00E-02	4.04E-03	2.42E-03	1.66E-03	2.52E-03	
440	1.01E-02	4.87E-03	2.43E-03	1.67E-03	2.55E-03	
441	1.11E-02	6.13E-03	2.45E-03	1.69E-03	2.57E-03	
442	1.20E-02	7.42E-03	2.47E-03	1.70E-03	2.59E-03	
443	1.38E-02	1.09E-02	2.50E-03	1.72E-03	3.05E-03	
444	1.57E-02	1.44E-02	2.54E-03	1.73E-03	3.51E-03	
445	2.37E-02	2.70E-02	3.00E-03	2.18E-03	3.54E-03	
446	3.19E-02	3.99E-02	3.46E-03	2.63E-03	3.56E-03	
447	5.17E-02	8.39E-02	3.49E-03	3.54E-03	3.59E-03	
448	7.17E-02	1.28E-01	3.51E-03	4.45E-03	3.61E-03	
449	9.42E-02	1.97E-01	3.97E-03	4.47E-03	4.08E-03	
450	1.17E-01	2.67E-01	4.44E-03	4.50E-03	4.57E-03	
451	1.30E-01	3.21E-01	4.91E-03	4.52E-03	4.59E-03	
452	1.43E-01	3.75E-01	5.39E-03	4.55E-03	4.61E-03	
453	1.49E-01	4.00E-01	5.42E-03	4.57E-03	4.64E-03	
454	1.55E-01	4.25E-01	5.44E-03	4.59E-03	4.66E-03	
455	1.58E-01	4.37E-01	5.46E-03	5.07E-03	4.68E-03	
456	1.61E-01	4.48E-01	5.48E-03	5.56E-03	4.70E-03	
457	1.64E-01	4.58E-01	5.50E-03	6.05E-03	5.19E-03	
458	1.68E-01	4.69E-01	5.52E-03	6.54E-03	5.69E-03	
